date	value
1958-01	0.2964
1958-02	0.2103
1958-03	0.1181
1958-04	0.114
1958-05	0.1007
1958-06	0.0624
1958-07	0.0649
1958-08	0.0528
1958-09	0.0186
1958-10	0.0405
1958-11	0.0896
1958-12	0.1452
1959-01	0.125
1959-02	0.0682
1959-03	0.2041
1959-04	0.118
1959-05	0.0263
1959-06	0.0849
1959-07	0.0671
1959-08	0.0516
1959-09	0.097
1959-10	-0.0137
1959-11	-0.079
1959-12	-0.0343
1960-01	0.0032
1960-02	0.1858
1960-03	-0.2041
1960-04	-0.0954
1960-05	-0.0841
1960-06	0.0772
1960-07	0.0339
1960-08	0.0461
1960-09	0.0638
1960-10	0.039
1960-11	-0.0484
1960-12	0.2278
1961-01	0.1188
1961-02	0.1768
1961-03	0.1646
1961-04	0.1335
1961-05	0.1614
1961-06	0.1479
1961-07	0.035
1961-08	0.032
1961-09	-0.0041
1961-10	-0.035
1961-11	0.016
1961-12	-0.0171
1962-01	0.1345
1962-02	0.1698
1962-03	0.1197
1962-04	0.0763
1962-05	0.0589
1962-06	0.0574
1962-07	0.0905
1962-08	0.0552
1962-09	0.0606
1962-10	0.0796
1962-11	0.0745
1962-12	0.0881
1963-01	0.0376
1963-02	0.2566
1963-03	-0.0216
1963-04	-0.0041
1963-05	0.013
1963-06	0.0499
1963-07	0.1382
1963-08	0.1579
1963-09	0.1629
1963-10	0.2148
1963-11	0.1947
1963-12	0.0812
1964-01	0.0488
1964-02	-0.1048
1964-03	-0.1421
1964-04	-0.1847
1964-05	-0.098
1964-06	-0.0931
1964-07	-0.1111
1964-08	-0.1669
1964-09	-0.2093
1964-10	-0.2665
1964-11	-0.2017
1964-12	-0.2651
1965-01	-0.0699
1965-02	-0.1966
1965-03	-0.1005
1965-04	-0.1875
1965-05	-0.0787
1965-06	-0.0434
1965-07	-0.0841
1965-08	-0.0464
1965-09	-0.0503
1965-10	0.0238
1965-11	-0.09
1965-12	-0.0124
1966-01	-0.0458
1966-02	-0.0373
1966-03	-0.0025
1966-04	-0.0908
1966-05	-0.0359
1966-06	0.0577
1966-07	0.0667
1966-08	0.0191
1966-09	0.0261
1966-10	-0.0592
1966-11	-0.0465
1966-12	-0.1244
1967-01	-0.1068
1967-02	-0.1656
1967-03	0.0029
1967-04	0.0056
1967-05	0.1243
