"Country or territory of asylum or residence","Country or territory of origin","Year","Refugees<sup>*</sup>","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations<sup>**</sup>","Total refugees and people in refugee-like situations assisted by UNHCR"
"Afghanistan","Iraq","2013","1","1","1","1"
"Afghanistan","Islamic Rep. of Iran","2013","36","36","36","36"
"Afghanistan","Pakistan","2013","34","34","16825","16825"
"Afghanistan","State of Palestine","2013","1","1","1","1"
"Albania","Algeria","2013","0","0","0","0"
"Albania","China","2013","12","12","12","12"
"Albania","Dem. Rep. of the Congo","2013","5","5","5","5"
"Albania","Egypt","2013","3","3","3","3"
"Albania","Iraq","2013","5","5","5","5"
"Albania","Montenegro","2013","2","2","2","2"
"Albania","Peru","2013","1","1","1","1"
"Albania","Serbia (and Kosovo: S/RES/1244 (1999))","2013","54","54","54","54"
"Albania","State of Palestine","2013","4","4","4","4"
"Albania","Tunisia","2013","0","0","0","0"
"Albania","Turkey","2013","4","4","4","4"
"Albania","Uzbekistan","2013","3","3","3","3"
"Algeria","Afghanistan","2013","2","2","2","2"
"Algeria","Angola","2013","4","4","4","4"
"Algeria","Burundi","2013","1","1","1","1"
"Algeria","Cameroon","2013","10","10","10","10"
"Algeria","Central African Rep.","2013","1","1","1","1"
"Algeria","Chad","2013","2","2","2","2"
"Algeria","Congo","2013","7","7","7","7"
"Algeria","Côte d'Ivoire","2013","30","30","30","30"
"Algeria","Dem. Rep. of the Congo","2013","43","43","43","43"
"Algeria","Eritrea","2013","1","1","1","1"
"Algeria","Guinea","2013","1","1","1","1"
"Algeria","Iraq","2013","15","15","15","15"
"Algeria","Liberia","2013","2","2","2","2"
"Algeria","Mali","2013","0","0","0","0"
"Algeria","Mauritania","2013","1","1","1","1"
"Algeria","Nigeria","2013","2","2","2","2"
"Algeria","Somalia","2013","4","4","4","4"
"Algeria","State of Palestine","2013","4017","12","4017","12"
"Algeria","Togo","2013","3","3","3","3"
"Algeria","Western Sahara","2013","90000","90000","90000","90000"
"Algeria","Yemen","2013","4","4","4","4"
"Angola","Algeria","2013","1","0","1","0"
"Angola","Burundi","2013","18","0","18","0"
"Angola","Central African Rep.","2013","13","7","13","7"
"Angola","Chad","2013","195","15","195","15"
"Angola","Congo","2013","65","0","65","0"
"Angola","Côte d'Ivoire","2013","407","130","407","130"
"Angola","Cuba","2013","2","0","2","0"
"Angola","Dem. Rep. of the Congo","2013","21104","4500","21104","4500"
"Angola","Eritrea","2013","5","0","5","0"
"Angola","Guinea","2013","164","12","164","12"
"Angola","Guinea-Bissau","2013","5","0","5","0"
"Angola","Haiti","2013","2","1","2","1"
"Angola","Iraq","2013","2","0","2","0"
"Angola","Liberia","2013","160","20","160","20"
"Angola","Mauritania","2013","235","55","235","55"
"Angola","Rwanda","2013","458","150","458","150"
"Angola","Sierra Leone","2013","413","65","413","65"
"Angola","Somalia","2013","215","30","215","30"
"Angola","South Africa","2013","2","0","2","0"
"Angola","Sudan","2013","281","79","281","79"
"Angola","Uganda","2013","2","0","2","0"
"Angola","United Rep. of Tanzania","2013","6","0","6","0"
"Angola","Western Sahara","2013","27","8","27","8"
"Angola","Zambia","2013","1","0","1","0"
"Argentina","Afghanistan","2013","1","0","1","0"
"Argentina","Albania","2013","25","0","25","0"
"Argentina","Algeria","2013","41","0","41","0"
"Argentina","Angola","2013","13","3","13","3"
"Argentina","Armenia","2013","122","5","122","5"
"Argentina","Bangladesh","2013","0","0","0","0"
"Argentina","Belarus","2013","1","0","1","0"
"Argentina","Benin","2013","1","0","1","0"
"Argentina","Bolivia (Plurinational State of)","2013","3","0","3","0"
"Argentina","Bosnia and Herzegovina","2013","6","1","6","1"
"Argentina","Brazil","2013","1","0","1","0"
"Argentina","Bulgaria","2013","2","0","2","0"
"Argentina","Burundi","2013","5","0","5","0"
"Argentina","Cameroon","2013","11","5","11","5"
"Argentina","Central African Rep.","2013","2","0","2","0"
"Argentina","Chad","2013","2","0","2","0"
"Argentina","Chile","2013","36","0","36","0"
"Argentina","China","2013","2","0","2","0"
"Argentina","Colombia","2013","526","39","526","39"
"Argentina","Congo","2013","9","0","9","0"
"Argentina","Costa Rica","2013","5","0","5","0"
"Argentina","Côte d'Ivoire","2013","36","2","36","2"
"Argentina","Croatia","2013","2","0","2","0"
"Argentina","Cuba","2013","345","6","345","6"
"Argentina","Dem. Rep. of the Congo","2013","16","0","16","0"
"Argentina","Dominican Rep.","2013","2","0","2","0"
"Argentina","Ecuador","2013","15","0","15","0"
"Argentina","Egypt","2013","5","0","5","0"
"Argentina","El Salvador","2013","13","0","13","0"
"Argentina","Eritrea","2013","2","0","2","0"
"Argentina","Ethiopia","2013","3","0","3","0"
"Argentina","Gambia","2013","2","0","2","0"
"Argentina","Georgia","2013","5","0","5","0"
"Argentina","Ghana","2013","62","1","62","1"
"Argentina","Guatemala","2013","1","0","1","0"
"Argentina","Guinea","2013","10","1","10","1"
"Argentina","Guinea-Bissau","2013","19","0","19","0"
"Argentina","Haiti","2013","62","15","62","15"
"Argentina","Honduras","2013","4","0","4","0"
"Argentina","India","2013","32","0","32","0"
"Argentina","Iraq","2013","25","0","25","0"
"Argentina","Islamic Rep. of Iran","2013","18","0","18","0"
"Argentina","Italy","2013","1","0","1","0"
