date	value
2016-11-07	Bab Ighli, Marrakech, Morocco
2016-05-16	Bonn, Germany
2015-11-30	Paris, France
2015-10-19	Bonn, Germany
2015-08-31	Bonn, Germany
2015-06-01	Bonn, Germany
2015-02-08	Geneva, Switzerland
2014-12-01	Lima, Peru
2014-10-20	Bonn, Germany
2014-06-04	Bonn, Germany
2014-03-10	Bonn, Germany
2013-11-11	Warsaw, Poland
2013-06-03	Bonn, Germany
2013-04-29	Bonn, Germany
2012-11-26	Doha, Qatar
2012-08-30	Bangkok, Thailand
2012-05-14	Bonn, Germany
2011-11-28	Durban, South Africa
2011-10-01	Panama City, Panama
2011-06-06	Bonn, Germany
2011-04-03	Bangkok, Thailand
2010-11-29	Cancun, Mexico
2010-10-04	Tianjin, China
2010-08-02	Bonn, Germany
2010-05-31	Bonn, Germany
2010-04-09	Bonn, Germany
2009-12-07	Copenhagen, Denmark
2009-11-02	Barcelona, Spain
2009-09-28	Bangkok, Thailand
2009-08-10	Bonn, Germany
2009-06-01	Bonn, Germany
2009-03-29	Bonn, Germany
2008-12-01	Poznan, Poland
2008-08-21	Accra, Ghana
2008-06-02	Bonn, Germany
2008-03-31	Bangkok, Thailand
2007-12-03	Bali, Indonesia
2007-08-27	Vienna, Austria
2007-05-07	Bonn, Germany
2006-11-06	Nairobi, Kenya
2006-05-17	Bonn, Germany
2005-11-28	Montreal, Canada
2005-05-19	Bonn, Germany
2004-12-06	Buenos Aires, Argentina
2004-06-16	Bonn, Germany
2003-12-01	Milan, Italy
2003-06-04	Bonn, Germany
2002-10-23	New Delhi, India
2002-06-05	Bonn, Germany
2001-10-29	Marrakech, Morocco
2001-06-16	Bonn, Germany
2000-11-13	The Hague, The Netherlands
2000-08-11	Lyon, France
2000-06-12	Bonn, Germany
1999-11-25	Bonn, Germany
1999-05-31	Bonn, Germany
1998-11-02	Buenos Aires, Argentina
1998-06-02	Bonn, Germany
1997-12-01	Kyoto, Japan
1997-10-20	Bonn, Germany
1997-07-28	Bonn, Germany
1997-02-25	Bonn, Germany
